Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,14.938
1,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.723
2,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,7.032
2,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,7.013
3,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,31.467
3,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,31.476
4,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,18.833
4,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.421
5,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,18.742
5,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.209
6,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.284
6,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.119
7,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,14.81
7,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.037
8,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,27.054
8,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,26.878
9,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.351
9,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.3
10,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,26.722
10,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,27.13
