Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,42,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.449
1,42,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.588
1,42,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.422
1,42,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,11.364
1,42,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,28202,10.942
1,42,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,28202,11.092
1,42,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,28202,11.602
1,42,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,28190,11.566
1,42,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,28202,7.14
1,42,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,28202,6.999
1,42,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,7.535
1,42,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,19.574
1,42,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,19.169
1,42,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,15.361
1,42,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,15.266
1,42,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,28202,15.901
1,42,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,28202,15.915
1,42,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,28202,11.955
1,42,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,28202,11.71
1,42,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,28190,12.309
1,42,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,28202,11.593
1,42,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,28202,11.729
1,42,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,28202,11.347
1,42,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,28202,7.31
1,42,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,28190,7.719
1,42,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,28202,7.793
1,42,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,28202,19.204
1,42,28,0x40A469977F73155B263A008d1372127afE9FAF55,28190,15.368
1,42,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,28202,15.105
1,42,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,28202,14.965
1,42,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,28202,16.012
1,42,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,28202,11.614
1,42,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,28202,13.112
1,42,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,28202,12.003
1,42,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,48102,11.944
1,42,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,48102,7.526
1,42,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,48102,7.269
1,42,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,48102,6.938
1,42,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,48102,7.544
1,42,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,48102,19.577
1,42,41,0xEc276022f61BeC020140D4b84835b83E29669035,48102,15.521
1,42,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,48102,14.957
2,42,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.871
2,42,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.495
2,42,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,28202,15.947
2,42,4,0x027081Bdc50d261986D1A325e41eC320C142e880,28202,11.97
2,42,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,28202,11.777
2,42,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,28202,11.857
2,42,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,28202,11.319
2,42,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,28190,7.132
2,42,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,28202,7.427
2,42,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,28202,8.004
2,42,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,28202,19.776
2,42,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,28202,19.572
2,42,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,28202,15.224
2,42,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,28202,15.774
2,42,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,28202,15.673
