Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,16.656
1,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.913
2,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.074
2,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.141
3,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,19.309
3,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,19.577
4,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,26.92
4,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,27.394
5,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,19.531
5,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,19.836
6,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.504
6,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.092
7,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,7.176
7,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.124
8,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,15.023
8,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,15.571
9,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,19.011
9,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,19.444
10,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,28202,31.323
10,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,28202,30.977
