Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,50,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,7.232
1,50,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,7.095
1,50,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,7.062
1,50,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,20.192
1,50,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,20.371
1,50,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,15.674
1,50,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,16.113
1,50,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,16.308
1,50,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,16.274
1,50,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,15.918
1,50,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,24752,12.109
1,50,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,24752,12.682
1,50,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,24752,12.278
1,50,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,24752,12.24
1,50,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,24752,11.992
1,50,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,24752,8.203
1,50,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,24752,8.493
1,50,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,24752,8.388
1,50,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,24752,8.046
1,50,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,24740,20.552
1,50,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,24752,17.143
1,50,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,24752,17.876
1,50,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,24752,18.213
1,50,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,24752,13.452
1,50,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,24740,13.198
1,50,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,24752,12.582
1,50,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,24752,12.27
1,50,28,0x40A469977F73155B263A008d1372127afE9FAF55,24740,7.202
1,50,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,24752,20.17
1,50,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,24752,19.548
1,50,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,24752,15.934
1,50,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,24752,15.22
1,50,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,24752,19.147
1,50,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,24752,18.929
1,50,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,24752,15.067
1,50,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,24752,11.215
1,50,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,24752,12.549
1,50,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,24752,9.822
1,50,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,24752,8.686
1,50,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,24752,7.3
1,50,41,0xEc276022f61BeC020140D4b84835b83E29669035,24752,18.959
1,50,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,24752,18.488
1,50,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,44652,18.962
1,50,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,44652,15.603
1,50,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,44652,11.211
1,50,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,44652,11.421
1,50,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,44652,10.959
1,50,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,44652,11.357
1,50,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,44640,11.55
1,50,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,44652,7.127
2,50,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.164
2,50,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,10.955
2,50,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,10.952
2,50,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,11.824
2,50,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,11.21
2,50,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,20.426
2,50,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,17.006
2,50,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,16.244
2,50,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,16.805
2,50,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,16.653
2,50,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,24752,16.382
2,50,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,24752,15.981
2,50,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,24752,12.22
2,50,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,24752,12.531
2,50,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,24752,12.325
2,50,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,24752,12.122
2,50,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,24752,11.842
2,50,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,24752,9.329
2,50,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,24752,8.981
2,50,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,24740,8.556
2,50,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,24752,19.549
2,50,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,24752,15.31
2,50,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,24752,16.269
2,50,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,24752,13.852
2,50,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,24740,13.068
2,50,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,24752,11.356
2,50,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,24752,11.638
2,50,28,0x40A469977F73155B263A008d1372127afE9FAF55,24740,7.249
2,50,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,24752,7.126
2,50,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,24752,7.466
2,50,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,24752,19.541
2,50,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,24752,19.291
2,50,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,24752,15.586
2,50,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,24752,15.502
2,50,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,24752,15.297
2,50,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,24752,15.831
2,50,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,24752,12.917
2,50,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,24752,11.971
2,50,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,24752,12.732
2,50,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,24752,12.031
2,50,41,0xEc276022f61BeC020140D4b84835b83E29669035,24752,7.866
2,50,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,24752,8.021
2,50,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,24752,7.83
2,50,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,24752,7.846
2,50,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,24752,31.387
2,50,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,24752,30.996
2,50,47,0x558092ECAB0FEca505f1Fff7b056ED2468Aa2F64,24752,27.194
2,50,48,0x48671a5f4EF46DCC5f330aa5e542da304cEf15AE,24752,27.019
2,50,49,0x7EAE600a929F0c05532E458c0B00e8CfC474f986,24740,27.367
2,50,50,0x922d8E649d5C96c474f252dd582af451e86028Eb,24752,23.858
3,50,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.601
3,50,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,7.262
3,50,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,24752,20.175
3,50,4,0x027081Bdc50d261986D1A325e41eC320C142e880,24752,19.623
3,50,5,0xBCc025eDE10308529B9387E51199bfE1fd83EaAA,24752,20.152
3,50,6,0x791Bcb599ac4DaFCbc24d44bcAA33ef6889Dfa60,24752,19.58
3,50,7,0xaD6cC98f2C952B440FAb67253E89670E7df76988,24752,15.884
3,50,8,0x5B7a90Bf10b08a0065e486aE1f860fe9C0478B41,24740,16.307
3,50,9,0xC8fec6C5b94D5fBDaBAf28192318B6668edDeb50,24752,16.589
3,50,10,0x9706eab126b2E9f68ACEb7035B6FbC8fB6318757,24752,15.815
3,50,11,0xca2a85EfcDF59c49c40261772566a10f18FEF43A,24752,11.492
3,50,12,0xBF50c3084619B755137Ca0A06CA74d043Ac3AC6D,24752,12.478
3,50,13,0xbbABa738a5B04b4870BE8453e81aD07c24EF678F,24752,12.007
3,50,14,0x0Cb66334692EeB0a77f84414A40F5092c156bC20,24752,11.557
3,50,15,0xfce35557CC7B3A9Ac5e7208dE363724668F9E06e,24752,7.797
3,50,16,0xcee0A37a0e866642ca0D6132b10B7a23ECa29318,24752,7.11
3,50,17,0xA707Af4af3612Cd298279d44a78e01318C56a73e,24752,7.681
3,50,18,0x7Bb21C83838584924E86A74a1E770aA2f2b13A84,24752,8.127
3,50,19,0x62d12fc4A7BBcAcA04E07F8bCF7AB44C423DD62a,24752,20.16
3,50,20,0xe46bA7E00F445780a9b3A862E5B58D87747f00e0,24740,15.398
3,50,21,0x51497B27B08126e5a6953C7EE743861C9AB4F9dE,24752,15.513
3,50,22,0xb28f2433DF37060f9d5caA149D04aEe12b7B938B,24752,15.906
3,50,23,0x313F2cFe6a76717651159486CEf4E603A63c890A,24752,16.381
3,50,24,0x7E6aE727157d983ed80Ee05Ba1ef7F120B7372e1,24752,12.766
3,50,25,0x23D607764e3bF83e6e97a91d0c138adf00E893aD,24740,13.064
3,50,26,0x9Bd20dE330A01447c3D28Bd7137237116bD9e266,24752,12.523
3,50,27,0xA480A6d9763C222E57A50778AF7995c0f0D15145,24752,11.98
3,50,28,0x40A469977F73155B263A008d1372127afE9FAF55,24740,7.951
3,50,29,0x0aD8C3835d3308aa8782A57F5B78BBf5eBd8042e,24752,7.772
3,50,30,0x075BDe0baf59d56aa0EEd3a535a2dAF749C73E85,24752,8.105
3,50,31,0xC2f291f5A3409C7e0Cbe21A35b298D06D4D4A81d,24752,20.087
3,50,32,0x2a10fD01E3684e16039AEc0375a3EfaF79A984Ef,24752,15.566
3,50,33,0xDD6eBD5f9523a2f3f060E4A7B72AC99791B1CF68,24752,15.839
3,50,34,0x024a5D816aFdd34c3B8bEC54DFF4C2493b701287,24752,16.786
3,50,35,0xE0195036280919C5Fd8a09A284801c1D10544D5B,24752,13.076
3,50,36,0x196e12348E375BD1573EA831646Fa4b59fc7365F,24752,13.201
3,50,37,0x148EdA985cF169d2b47251526e25D532036A4DE6,24752,13.149
3,50,38,0xec6917a08C812F77A6f166C02c591933d9360aF8,24752,12.182
3,50,39,0x84632251bcC3a0DF7D02eD42aF82614828e9206C,24752,7.236
3,50,40,0xD10Cc8f237bfe15FA26Dd61d94c7824f556905fB,24752,7.341
3,50,41,0xEc276022f61BeC020140D4b84835b83E29669035,24752,7.434
3,50,42,0x6831762a1dB081fE324CD3c38274F85C40dD853B,24752,8.178
3,50,43,0xC6Bb1BB4a878B655BcEeff8B9423E6d2Eb92fe3A,24752,19.622
3,50,44,0xb43E609C4039981C1245bc3dD024196B89Db4f1e,24752,15.302
3,50,45,0xdA3114CBAAAC223DF1F45123ccec937fe57A66Ab,24752,16.034
3,50,46,0x6E7549Fa88FACF843239514ACEb8B87eE8936Af4,24752,15.566
