Iteration,BatchSize,UserIndex,UserAddress,GasUsed,Latency(s)
1,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,19.686
1,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,15.285
2,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.127
2,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.261
3,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,35.377
3,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,35.119
4,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.269
4,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,8.097
5,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.557
5,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.363
6,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.491
6,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.327
7,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,12.168
7,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.47
8,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,16.277
8,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,16.15
9,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,11.631
9,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,11.02
10,2,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,24752,7.175
10,2,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,24752,7.099
